"","Site_Number","Site","Year","Month","Day","Season_Sampled","Response_Value","Response","Predictor_Value","Predictor"
"742",2,"McDowellSonoranPreserve",2017,9,23,"Fall",13,"Richness",40.1,"Tmax"
"743",2,"McDowellSonoranPreserve",2017,9,23,"Fall",13,"Richness",16.6,"Tmin"
"744",2,"McDowellSonoranPreserve",2017,9,23,"Fall",13,"Richness",238.72,"Winter"
"745",2,"McDowellSonoranPreserve",2018,4,7,"Spring",30,"Abundance",124.14,"Monsoon"
"746",2,"McDowellSonoranPreserve",2018,4,7,"Spring",30,"Abundance",29.6,"Tmax"
"747",2,"McDowellSonoranPreserve",2018,4,7,"Spring",30,"Abundance",7.8,"Tmin"
"748",2,"McDowellSonoranPreserve",2018,4,7,"Spring",30,"Abundance",43.4,"Winter"
"749",2,"McDowellSonoranPreserve",2018,4,7,"Spring",8,"Richness",124.14,"Monsoon"
"750",2,"McDowellSonoranPreserve",2018,4,7,"Spring",8,"Richness",29.6,"Tmax"
"751",2,"McDowellSonoranPreserve",2018,4,7,"Spring",8,"Richness",7.8,"Tmin"
"752",2,"McDowellSonoranPreserve",2018,4,7,"Spring",8,"Richness",43.4,"Winter"
"753",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"754",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"755",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"756",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"769",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"770",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"771",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"772",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"785",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"786",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"787",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"788",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"801",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"802",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"803",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"804",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",124.14,"Monsoon"
"757",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"758",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"759",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"760",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"773",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"774",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"775",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"776",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"789",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"790",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"791",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"792",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"805",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"806",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"807",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"808",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",39.5,"Tmax"
"761",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"762",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"763",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"764",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"777",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"778",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"779",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"780",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"793",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"794",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"795",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"796",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"809",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"810",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"811",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"812",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",21.2,"Tmin"
"765",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"766",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"767",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"768",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"781",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"782",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"783",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"784",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"797",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"798",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"799",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"800",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"813",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"814",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"815",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"816",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance",43.4,"Winter"
"817",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"818",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"819",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"820",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"833",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"834",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"835",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"836",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"849",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"850",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"851",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"852",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"865",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"866",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"867",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"868",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",124.14,"Monsoon"
"821",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"822",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"823",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"824",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"837",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"838",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"839",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"840",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"853",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"854",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"855",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"856",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"869",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"870",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"871",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"872",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",39.5,"Tmax"
"825",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"826",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"827",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"828",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"841",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"842",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"843",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"844",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"857",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"858",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"859",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"860",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"873",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"874",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"875",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"876",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",21.2,"Tmin"
"829",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"830",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"831",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"832",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"845",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"846",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"847",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"848",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"861",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"862",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"863",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"864",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"877",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"878",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"879",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"880",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness",43.4,"Winter"
"881",2,"McDowellSonoranPreserve",2019,4,6,"Spring",583,"Abundance",98.52,"Monsoon"
"882",2,"McDowellSonoranPreserve",2019,4,6,"Spring",583,"Abundance",27,"Tmax"
"883",2,"McDowellSonoranPreserve",2019,4,6,"Spring",583,"Abundance",4.3,"Tmin"
"884",2,"McDowellSonoranPreserve",2019,4,6,"Spring",583,"Abundance",368.46,"Winter"
"885",2,"McDowellSonoranPreserve",2019,4,6,"Spring",34,"Richness",98.52,"Monsoon"
"886",2,"McDowellSonoranPreserve",2019,4,6,"Spring",34,"Richness",27,"Tmax"
"887",2,"McDowellSonoranPreserve",2019,4,6,"Spring",34,"Richness",4.3,"Tmin"
"888",2,"McDowellSonoranPreserve",2019,4,6,"Spring",34,"Richness",368.46,"Winter"
"889",2,"McDowellSonoranPreserve",2019,9,28,"Fall",47,"Abundance",98.52,"Monsoon"
"890",2,"McDowellSonoranPreserve",2019,9,28,"Fall",47,"Abundance",40.6,"Tmax"
"891",2,"McDowellSonoranPreserve",2019,9,28,"Fall",47,"Abundance",18.3,"Tmin"
"892",2,"McDowellSonoranPreserve",2019,9,28,"Fall",47,"Abundance",368.46,"Winter"
"893",2,"McDowellSonoranPreserve",2019,9,28,"Fall",18,"Richness",98.52,"Monsoon"
"894",2,"McDowellSonoranPreserve",2019,9,28,"Fall",18,"Richness",40.6,"Tmax"
"895",2,"McDowellSonoranPreserve",2019,9,28,"Fall",18,"Richness",18.3,"Tmin"
"896",2,"McDowellSonoranPreserve",2019,9,28,"Fall",18,"Richness",368.46,"Winter"
"897",2,"McDowellSonoranPreserve",2020,4,4,"Spring",146,"Abundance",21.97,"Monsoon"
"898",2,"McDowellSonoranPreserve",2020,4,4,"Spring",146,"Abundance",25.6,"Tmax"
"899",2,"McDowellSonoranPreserve",2020,4,4,"Spring",146,"Abundance",5.5,"Tmin"
"900",2,"McDowellSonoranPreserve",2020,4,4,"Spring",146,"Abundance",288.94,"Winter"
"901",2,"McDowellSonoranPreserve",2020,4,4,"Spring",22,"Richness",21.97,"Monsoon"
"902",2,"McDowellSonoranPreserve",2020,4,4,"Spring",22,"Richness",25.6,"Tmax"
"903",2,"McDowellSonoranPreserve",2020,4,4,"Spring",22,"Richness",5.5,"Tmin"
"904",2,"McDowellSonoranPreserve",2020,4,4,"Spring",22,"Richness",288.94,"Winter"
"905",2,"McDowellSonoranPreserve",2020,9,26,"Fall",6,"Abundance",21.97,"Monsoon"
"906",2,"McDowellSonoranPreserve",2020,9,26,"Fall",6,"Abundance",42.6,"Tmax"
"907",2,"McDowellSonoranPreserve",2020,9,26,"Fall",6,"Abundance",18,"Tmin"
"908",2,"McDowellSonoranPreserve",2020,9,26,"Fall",6,"Abundance",288.94,"Winter"
"909",2,"McDowellSonoranPreserve",2020,9,26,"Fall",4,"Richness",21.97,"Monsoon"
"910",2,"McDowellSonoranPreserve",2020,9,26,"Fall",4,"Richness",42.6,"Tmax"
"911",2,"McDowellSonoranPreserve",2020,9,26,"Fall",4,"Richness",18,"Tmin"
"912",2,"McDowellSonoranPreserve",2020,9,26,"Fall",4,"Richness",288.94,"Winter"
"913",2,"McDowellSonoranPreserve",2021,4,3,"Spring",62,"Abundance",283.24,"Monsoon"
"914",2,"McDowellSonoranPreserve",2021,4,3,"Spring",62,"Abundance",30.7,"Tmax"
"915",2,"McDowellSonoranPreserve",2021,4,3,"Spring",62,"Abundance",3.3,"Tmin"
"916",2,"McDowellSonoranPreserve",2021,4,3,"Spring",62,"Abundance",69.26,"Winter"
"917",2,"McDowellSonoranPreserve",2021,4,3,"Spring",11,"Richness",283.24,"Monsoon"
"918",2,"McDowellSonoranPreserve",2021,4,3,"Spring",11,"Richness",30.7,"Tmax"
"919",2,"McDowellSonoranPreserve",2021,4,3,"Spring",11,"Richness",3.3,"Tmin"
"920",2,"McDowellSonoranPreserve",2021,4,3,"Spring",11,"Richness",69.26,"Winter"
"921",2,"McDowellSonoranPreserve",2021,9,25,"Fall",9607,"Abundance",283.24,"Monsoon"
"922",2,"McDowellSonoranPreserve",2021,9,25,"Fall",9607,"Abundance",40.6,"Tmax"
"923",2,"McDowellSonoranPreserve",2021,9,25,"Fall",9607,"Abundance",21.2,"Tmin"
"924",2,"McDowellSonoranPreserve",2021,9,25,"Fall",9607,"Abundance",69.26,"Winter"
"925",2,"McDowellSonoranPreserve",2021,9,25,"Fall",40,"Richness",283.24,"Monsoon"
"926",2,"McDowellSonoranPreserve",2021,9,25,"Fall",40,"Richness",40.6,"Tmax"
"927",2,"McDowellSonoranPreserve",2021,9,25,"Fall",40,"Richness",21.2,"Tmin"
"928",2,"McDowellSonoranPreserve",2021,9,25,"Fall",40,"Richness",69.26,"Winter"
"929",3,"GrandCanyonDesertView",2015,5,31,"Spring",122,"Abundance",176.21,"Monsoon"
"930",3,"GrandCanyonDesertView",2015,5,31,"Spring",122,"Abundance",29.3,"Tmax"
"931",3,"GrandCanyonDesertView",2015,5,31,"Spring",122,"Abundance",0,"Tmin"
"932",3,"GrandCanyonDesertView",2015,5,31,"Spring",122,"Abundance",170.61,"Winter"
"933",3,"GrandCanyonDesertView",2015,5,31,"Spring",30,"Richness",176.21,"Monsoon"
"934",3,"GrandCanyonDesertView",2015,5,31,"Spring",30,"Richness",29.3,"Tmax"
"935",3,"GrandCanyonDesertView",2015,5,31,"Spring",30,"Richness",0,"Tmin"
"936",3,"GrandCanyonDesertView",2015,5,31,"Spring",30,"Richness",170.61,"Winter"
"937",4,"GrandCanyonSouthRim",2014,9,6,"Fall",141,"Abundance",192.11,"Monsoon"
"938",4,"GrandCanyonSouthRim",2014,9,6,"Fall",141,"Abundance",31.5,"Tmax"
"939",4,"GrandCanyonSouthRim",2014,9,6,"Fall",141,"Abundance",6.6,"Tmin"
"940",4,"GrandCanyonSouthRim",2014,9,6,"Fall",141,"Abundance",88.17,"Winter"
"941",4,"GrandCanyonSouthRim",2014,9,6,"Fall",18,"Richness",192.11,"Monsoon"
"942",4,"GrandCanyonSouthRim",2014,9,6,"Fall",18,"Richness",31.5,"Tmax"
"943",4,"GrandCanyonSouthRim",2014,9,6,"Fall",18,"Richness",6.6,"Tmin"
"944",4,"GrandCanyonSouthRim",2014,9,6,"Fall",18,"Richness",88.17,"Winter"
"945",4,"GrandCanyonSouthRim",2015,6,14,"Spring",123,"Abundance",162.55,"Monsoon"
"946",4,"GrandCanyonSouthRim",2015,6,14,"Spring",123,"Abundance",28.8,"Tmax"
"947",4,"GrandCanyonSouthRim",2015,6,14,"Spring",123,"Abundance",-1.2,"Tmin"
"948",4,"GrandCanyonSouthRim",2015,6,14,"Spring",123,"Abundance",176.19,"Winter"
