"","Site_Number","Site","Year","Month","Day","Season_Sampled","Response_Value","Response"
"271",6,"PatagoniaAZ",1994,8,6,"Fall",87,"Richness"
"70",6,"PatagoniaAZ",1995,8,13,"Fall",5463,"Abundance"
"272",6,"PatagoniaAZ",1995,8,13,"Fall",90,"Richness"
"71",6,"PatagoniaAZ",1996,8,11,"Fall",1753,"Abundance"
"273",6,"PatagoniaAZ",1996,8,11,"Fall",76,"Richness"
"72",6,"PatagoniaAZ",1997,8,9,"Fall",4994,"Abundance"
"274",6,"PatagoniaAZ",1997,8,9,"Fall",82,"Richness"
"73",6,"PatagoniaAZ",1998,8,8,"Fall",5789,"Abundance"
"275",6,"PatagoniaAZ",1998,8,8,"Fall",97,"Richness"
"74",6,"PatagoniaAZ",1999,8,9,"Fall",2573,"Abundance"
"276",6,"PatagoniaAZ",1999,8,9,"Fall",87,"Richness"
"75",6,"PatagoniaAZ",2000,8,12,"Fall",11315,"Abundance"
"277",6,"PatagoniaAZ",2000,8,12,"Fall",85,"Richness"
"76",6,"PatagoniaAZ",2001,8,11,"Fall",6139,"Abundance"
"278",6,"PatagoniaAZ",2001,8,11,"Fall",99,"Richness"
"77",6,"PatagoniaAZ",2002,8,10,"Fall",736,"Abundance"
"279",6,"PatagoniaAZ",2002,8,10,"Fall",54,"Richness"
"78",6,"PatagoniaAZ",2003,8,9,"Fall",3283,"Abundance"
"280",6,"PatagoniaAZ",2003,8,9,"Fall",79,"Richness"
"79",6,"PatagoniaAZ",2004,8,7,"Fall",3331,"Abundance"
"281",6,"PatagoniaAZ",2004,8,7,"Fall",91,"Richness"
"80",6,"PatagoniaAZ",2005,8,6,"Fall",2850,"Abundance"
"282",6,"PatagoniaAZ",2005,8,6,"Fall",77,"Richness"
"81",6,"PatagoniaAZ",2006,8,5,"Fall",2174,"Abundance"
"283",6,"PatagoniaAZ",2006,8,5,"Fall",70,"Richness"
"82",6,"PatagoniaAZ",2007,8,18,"Fall",2423,"Abundance"
"284",6,"PatagoniaAZ",2007,8,18,"Fall",86,"Richness"
"83",6,"PatagoniaAZ",2008,8,9,"Fall",3040,"Abundance"
"285",6,"PatagoniaAZ",2008,8,9,"Fall",88,"Richness"
"84",6,"PatagoniaAZ",2009,8,8,"Fall",4653,"Abundance"
"286",6,"PatagoniaAZ",2009,8,8,"Fall",89,"Richness"
"85",6,"PatagoniaAZ",2010,8,7,"Fall",5445,"Abundance"
"287",6,"PatagoniaAZ",2010,8,7,"Fall",91,"Richness"
"86",6,"PatagoniaAZ",2011,8,6,"Fall",1715,"Abundance"
"288",6,"PatagoniaAZ",2011,8,6,"Fall",71,"Richness"
"87",6,"PatagoniaAZ",2012,8,11,"Fall",4226,"Abundance"
"289",6,"PatagoniaAZ",2012,8,11,"Fall",97,"Richness"
"88",6,"PatagoniaAZ",2013,8,10,"Fall",2653,"Abundance"
"290",6,"PatagoniaAZ",2013,8,10,"Fall",80,"Richness"
"89",6,"PatagoniaAZ",2014,8,9,"Fall",3141,"Abundance"
"291",6,"PatagoniaAZ",2014,8,9,"Fall",75,"Richness"
"90",6,"PatagoniaAZ",2015,8,11,"Fall",10072,"Abundance"
"292",6,"PatagoniaAZ",2015,8,11,"Fall",97,"Richness"
"91",6,"PatagoniaAZ",2016,8,8,"Fall",2911,"Abundance"
"293",6,"PatagoniaAZ",2016,8,8,"Fall",88,"Richness"
"92",6,"PatagoniaAZ",2017,8,7,"Fall",1930,"Abundance"
"294",6,"PatagoniaAZ",2017,8,7,"Fall",75,"Richness"
"93",6,"PatagoniaAZ",2018,8,12,"Fall",3719,"Abundance"
"295",6,"PatagoniaAZ",2018,8,12,"Fall",88,"Richness"
"94",6,"PatagoniaAZ",2019,8,6,"Fall",2905,"Abundance"
"296",6,"PatagoniaAZ",2019,8,6,"Fall",92,"Richness"
"95",6,"PatagoniaAZ",2021,8,9,"Fall",2654,"Abundance"
"297",6,"PatagoniaAZ",2021,8,9,"Fall",54,"Richness"
"114",7,"RamseyCanyonAZ",1981,7,19,"Fall",1689,"Abundance"
"316",7,"RamseyCanyonAZ",1981,7,19,"Fall",64,"Richness"
"115",7,"RamseyCanyonAZ",1983,8,6,"Fall",5857,"Abundance"
"317",7,"RamseyCanyonAZ",1983,8,6,"Fall",95,"Richness"
"116",7,"RamseyCanyonAZ",1984,8,11,"Fall",2966,"Abundance"
"318",7,"RamseyCanyonAZ",1984,8,11,"Fall",74,"Richness"
"117",7,"RamseyCanyonAZ",1985,8,10,"Fall",2019,"Abundance"
"319",7,"RamseyCanyonAZ",1985,8,10,"Fall",80,"Richness"
"118",7,"RamseyCanyonAZ",1986,8,16,"Fall",4394,"Abundance"
"320",7,"RamseyCanyonAZ",1986,8,16,"Fall",81,"Richness"
"119",7,"RamseyCanyonAZ",1987,8,9,"Fall",10472,"Abundance"
"321",7,"RamseyCanyonAZ",1987,8,9,"Fall",69,"Richness"
"120",7,"RamseyCanyonAZ",1988,7,30,"Fall",3506,"Abundance"
"322",7,"RamseyCanyonAZ",1988,7,30,"Fall",61,"Richness"
"121",7,"RamseyCanyonAZ",1989,8,6,"Fall",1148,"Abundance"
"323",7,"RamseyCanyonAZ",1989,8,6,"Fall",79,"Richness"
"122",7,"RamseyCanyonAZ",1990,8,4,"Fall",3090,"Abundance"
"324",7,"RamseyCanyonAZ",1990,8,4,"Fall",89,"Richness"
"123",7,"RamseyCanyonAZ",1991,7,30,"Fall",3674,"Abundance"
"325",7,"RamseyCanyonAZ",1991,7,30,"Fall",97,"Richness"
"124",7,"RamseyCanyonAZ",1992,8,2,"Fall",2610,"Abundance"
"326",7,"RamseyCanyonAZ",1992,8,2,"Fall",88,"Richness"
"125",7,"RamseyCanyonAZ",1993,7,31,"Fall",2829,"Abundance"
"327",7,"RamseyCanyonAZ",1993,7,31,"Fall",98,"Richness"
"126",7,"RamseyCanyonAZ",1994,7,30,"Fall",1400,"Abundance"
"328",7,"RamseyCanyonAZ",1994,7,30,"Fall",82,"Richness"
"127",7,"RamseyCanyonAZ",1995,8,6,"Fall",4018,"Abundance"
"329",7,"RamseyCanyonAZ",1995,8,6,"Fall",102,"Richness"
"128",7,"RamseyCanyonAZ",1996,8,5,"Fall",3207,"Abundance"
"330",7,"RamseyCanyonAZ",1996,8,5,"Fall",95,"Richness"
"129",7,"RamseyCanyonAZ",1997,8,2,"Fall",4632,"Abundance"
"331",7,"RamseyCanyonAZ",1997,8,2,"Fall",101,"Richness"
"130",7,"RamseyCanyonAZ",1998,8,1,"Fall",3099,"Abundance"
"332",7,"RamseyCanyonAZ",1998,8,1,"Fall",90,"Richness"
"131",7,"RamseyCanyonAZ",1999,8,3,"Fall",2746,"Abundance"
"333",7,"RamseyCanyonAZ",1999,8,3,"Fall",86,"Richness"
"132",7,"RamseyCanyonAZ",2000,8,5,"Fall",6975,"Abundance"
"334",7,"RamseyCanyonAZ",2000,8,5,"Fall",89,"Richness"
"133",7,"RamseyCanyonAZ",2001,8,4,"Fall",3836,"Abundance"
"335",7,"RamseyCanyonAZ",2001,8,4,"Fall",101,"Richness"
"134",7,"RamseyCanyonAZ",2002,8,3,"Fall",488,"Abundance"
"336",7,"RamseyCanyonAZ",2002,8,3,"Fall",52,"Richness"
"135",7,"RamseyCanyonAZ",2003,8,2,"Fall",1320,"Abundance"
"337",7,"RamseyCanyonAZ",2003,8,2,"Fall",68,"Richness"
"136",7,"RamseyCanyonAZ",2004,7,31,"Fall",2690,"Abundance"
"338",7,"RamseyCanyonAZ",2004,7,31,"Fall",89,"Richness"
"137",7,"RamseyCanyonAZ",2005,7,31,"Fall",2089,"Abundance"
"339",7,"RamseyCanyonAZ",2005,7,31,"Fall",85,"Richness"
"138",7,"RamseyCanyonAZ",2006,7,29,"Fall",760,"Abundance"
"340",7,"RamseyCanyonAZ",2006,7,29,"Fall",64,"Richness"
"139",7,"RamseyCanyonAZ",2007,8,11,"Fall",2189,"Abundance"
"341",7,"RamseyCanyonAZ",2007,8,11,"Fall",88,"Richness"
"140",7,"RamseyCanyonAZ",2008,8,2,"Fall",1251,"Abundance"
"342",7,"RamseyCanyonAZ",2008,8,2,"Fall",90,"Richness"
"141",7,"RamseyCanyonAZ",2009,8,1,"Fall",1978,"Abundance"
"343",7,"RamseyCanyonAZ",2009,8,1,"Fall",94,"Richness"
"142",7,"RamseyCanyonAZ",2010,7,31,"Fall",608,"Abundance"
"344",7,"RamseyCanyonAZ",2010,7,31,"Fall",63,"Richness"
"143",7,"RamseyCanyonAZ",2011,7,30,"Fall",625,"Abundance"
"345",7,"RamseyCanyonAZ",2011,7,30,"Fall",60,"Richness"
"144",7,"RamseyCanyonAZ",2012,8,4,"Fall",2966,"Abundance"
"346",7,"RamseyCanyonAZ",2012,8,4,"Fall",85,"Richness"
"145",7,"RamseyCanyonAZ",2013,8,3,"Fall",2684,"Abundance"
"347",7,"RamseyCanyonAZ",2013,8,3,"Fall",85,"Richness"
"146",7,"RamseyCanyonAZ",2014,8,2,"Fall",1078,"Abundance"
"348",7,"RamseyCanyonAZ",2014,8,2,"Fall",74,"Richness"
"147",7,"RamseyCanyonAZ",2015,8,6,"Fall",3153,"Abundance"
"349",7,"RamseyCanyonAZ",2015,8,6,"Fall",95,"Richness"
"148",7,"RamseyCanyonAZ",2016,8,1,"Fall",627,"Abundance"
"350",7,"RamseyCanyonAZ",2016,8,1,"Fall",77,"Richness"
"149",7,"RamseyCanyonAZ",2017,8,1,"Fall",1149,"Abundance"
"351",7,"RamseyCanyonAZ",2017,8,1,"Fall",74,"Richness"
"150",7,"RamseyCanyonAZ",2018,8,6,"Fall",2141,"Abundance"
"352",7,"RamseyCanyonAZ",2018,8,6,"Fall",98,"Richness"
"151",7,"RamseyCanyonAZ",2019,8,1,"Fall",721,"Abundance"
"353",7,"RamseyCanyonAZ",2019,8,1,"Fall",75,"Richness"
"152",7,"RamseyCanyonAZ",2020,7,28,"Fall",1346,"Abundance"
"354",7,"RamseyCanyonAZ",2020,7,28,"Fall",93,"Richness"
"153",7,"RamseyCanyonAZ",2021,8,2,"Fall",1075,"Abundance"
"355",7,"RamseyCanyonAZ",2021,8,2,"Fall",66,"Richness"
"20",8,"BoyceThompsonArboretum",2007,8,11,"Fall",321,"Abundance"
"222",8,"BoyceThompsonArboretum",2007,8,11,"Fall",31,"Richness"
"21",8,"BoyceThompsonArboretum",2009,9,12,"Fall",144,"Abundance"
"223",8,"BoyceThompsonArboretum",2009,9,12,"Fall",30,"Richness"
"22",8,"BoyceThompsonArboretum",2010,9,11,"Fall",1081,"Abundance"
"224",8,"BoyceThompsonArboretum",2010,9,11,"Fall",55,"Richness"
"23",8,"BoyceThompsonArboretum",2011,9,10,"Fall",514,"Abundance"
"225",8,"BoyceThompsonArboretum",2011,9,10,"Fall",42,"Richness"
"24",8,"BoyceThompsonArboretum",2012,9,15,"Fall",408,"Abundance"
"226",8,"BoyceThompsonArboretum",2012,9,15,"Fall",41,"Richness"
"25",8,"BoyceThompsonArboretum",2013,9,7,"Fall",343,"Abundance"
"227",8,"BoyceThompsonArboretum",2013,9,7,"Fall",37,"Richness"
"26",8,"BoyceThompsonArboretum",2014,9,6,"Fall",634,"Abundance"
"228",8,"BoyceThompsonArboretum",2014,9,6,"Fall",35,"Richness"
"27",8,"BoyceThompsonArboretum",2015,9,12,"Fall",521,"Abundance"
"229",8,"BoyceThompsonArboretum",2015,9,12,"Fall",40,"Richness"
"28",8,"BoyceThompsonArboretum",2016,9,10,"Fall",1088,"Abundance"
"230",8,"BoyceThompsonArboretum",2016,9,10,"Fall",36,"Richness"
"29",8,"BoyceThompsonArboretum",2017,9,9,"Fall",1199,"Abundance"
"231",8,"BoyceThompsonArboretum",2017,9,9,"Fall",42,"Richness"
"30",8,"BoyceThompsonArboretum",2018,9,8,"Fall",1419,"Abundance"
"232",8,"BoyceThompsonArboretum",2018,9,8,"Fall",35,"Richness"
"31",8,"BoyceThompsonArboretum",2019,9,7,"Fall",177,"Abundance"
"233",8,"BoyceThompsonArboretum",2019,9,7,"Fall",20,"Richness"
"32",8,"BoyceThompsonArboretum",2020,9,12,"Fall",32,"Abundance"
"234",8,"BoyceThompsonArboretum",2020,9,12,"Fall",15,"Richness"
"33",8,"BoyceThompsonArboretum",2021,9,11,"Fall",4932,"Abundance"
"235",8,"BoyceThompsonArboretum",2021,9,11,"Fall",34,"Richness"
"40",9,"GrandCanyonNorthRim",2019,7,25,"Fall",93,"Abundance"
"242",9,"GrandCanyonNorthRim",2019,7,25,"Fall",21,"Richness"
"41",9,"GrandCanyonNorthRim",2021,7,31,"Fall",292,"Abundance"
"243",9,"GrandCanyonNorthRim",2021,7,31,"Fall",26,"Richness"
"1",10,"AtascosaHighlandsAZ",1983,7,30,"Fall",1553,"Abundance"
"203",10,"AtascosaHighlandsAZ",1983,7,30,"Fall",68,"Richness"
"2",10,"AtascosaHighlandsAZ",1984,8,5,"Fall",5008,"Abundance"
"204",10,"AtascosaHighlandsAZ",1984,8,5,"Fall",80,"Richness"
"3",10,"AtascosaHighlandsAZ",1985,8,17,"Fall",3931,"Abundance"
"205",10,"AtascosaHighlandsAZ",1985,8,17,"Fall",68,"Richness"
"4",10,"AtascosaHighlandsAZ",1986,8,30,"Fall",4263,"Abundance"
"206",10,"AtascosaHighlandsAZ",1986,8,30,"Fall",69,"Richness"
"5",10,"AtascosaHighlandsAZ",1987,8,22,"Fall",3196,"Abundance"
"207",10,"AtascosaHighlandsAZ",1987,8,22,"Fall",64,"Richness"
"6",10,"AtascosaHighlandsAZ",1988,8,13,"Fall",2782,"Abundance"
"208",10,"AtascosaHighlandsAZ",1988,8,13,"Fall",74,"Richness"
"7",10,"AtascosaHighlandsAZ",1989,8,20,"Fall",1946,"Abundance"
"209",10,"AtascosaHighlandsAZ",1989,8,20,"Fall",78,"Richness"
"8",10,"AtascosaHighlandsAZ",1990,8,18,"Fall",8431,"Abundance"
"210",10,"AtascosaHighlandsAZ",1990,8,18,"Fall",93,"Richness"
"9",10,"AtascosaHighlandsAZ",1991,8,10,"Fall",963,"Abundance"
"211",10,"AtascosaHighlandsAZ",1991,8,10,"Fall",67,"Richness"
"10",10,"AtascosaHighlandsAZ",1992,8,16,"Fall",4460,"Abundance"
"212",10,"AtascosaHighlandsAZ",1992,8,16,"Fall",98,"Richness"
"11",10,"AtascosaHighlandsAZ",1993,8,14,"Fall",1635,"Abundance"
"213",10,"AtascosaHighlandsAZ",1993,8,14,"Fall",74,"Richness"
"12",10,"AtascosaHighlandsAZ",1994,8,13,"Fall",3569,"Abundance"
"214",10,"AtascosaHighlandsAZ",1994,8,13,"Fall",64,"Richness"
"13",10,"AtascosaHighlandsAZ",1995,8,20,"Fall",2569,"Abundance"
"215",10,"AtascosaHighlandsAZ",1995,8,20,"Fall",76,"Richness"
"14",10,"AtascosaHighlandsAZ",1996,8,18,"Fall",7958,"Abundance"
"216",10,"AtascosaHighlandsAZ",1996,8,18,"Fall",68,"Richness"
"15",10,"AtascosaHighlandsAZ",1997,8,16,"Fall",5281,"Abundance"
"217",10,"AtascosaHighlandsAZ",1997,8,16,"Fall",81,"Richness"
"16",10,"AtascosaHighlandsAZ",1998,8,15,"Fall",4065,"Abundance"
"218",10,"AtascosaHighlandsAZ",1998,8,15,"Fall",86,"Richness"
"17",10,"AtascosaHighlandsAZ",1999,8,14,"Fall",3688,"Abundance"
"219",10,"AtascosaHighlandsAZ",1999,8,14,"Fall",79,"Richness"
"18",10,"AtascosaHighlandsAZ",2000,8,19,"Fall",8694,"Abundance"
"220",10,"AtascosaHighlandsAZ",2000,8,19,"Fall",74,"Richness"
"19",10,"AtascosaHighlandsAZ",2001,8,18,"Fall",6059,"Abundance"
"221",10,"AtascosaHighlandsAZ",2001,8,18,"Fall",80,"Richness"
"154",11,"SabinoCanyonAZ",1991,7,27,"Fall",66,"Abundance"
"356",11,"SabinoCanyonAZ",1991,7,27,"Fall",8,"Richness"
"155",11,"SabinoCanyonAZ",1992,7,26,"Fall",190,"Abundance"
"357",11,"SabinoCanyonAZ",1992,7,26,"Fall",24,"Richness"
"156",11,"SabinoCanyonAZ",1993,7,30,"Fall",333,"Abundance"
"358",11,"SabinoCanyonAZ",1993,7,30,"Fall",36,"Richness"
"157",11,"SabinoCanyonAZ",1994,7,22,"Fall",781,"Abundance"
"359",11,"SabinoCanyonAZ",1994,7,22,"Fall",46,"Richness"
"158",11,"SabinoCanyonAZ",1995,7,29,"Fall",1053,"Abundance"
"360",11,"SabinoCanyonAZ",1995,7,29,"Fall",23,"Richness"
"159",11,"SabinoCanyonAZ",1996,7,27,"Fall",118,"Abundance"
"361",11,"SabinoCanyonAZ",1996,7,27,"Fall",16,"Richness"
"160",11,"SabinoCanyonAZ",1997,7,26,"Fall",115,"Abundance"
"362",11,"SabinoCanyonAZ",1997,7,26,"Fall",16,"Richness"
"161",11,"SabinoCanyonAZ",1998,8,1,"Fall",221,"Abundance"
"363",11,"SabinoCanyonAZ",1998,8,1,"Fall",22,"Richness"
"162",11,"SabinoCanyonAZ",2000,7,26,"Fall",978,"Abundance"
"364",11,"SabinoCanyonAZ",2000,7,26,"Fall",36,"Richness"
"163",11,"SabinoCanyonAZ",2001,7,18,"Fall",379,"Abundance"
"365",11,"SabinoCanyonAZ",2001,7,18,"Fall",42,"Richness"
"164",11,"SabinoCanyonAZ",2002,7,31,"Fall",72,"Abundance"
"366",11,"SabinoCanyonAZ",2002,7,31,"Fall",19,"Richness"
"165",11,"SabinoCanyonAZ",2008,7,19,"Fall",216,"Abundance"
"367",11,"SabinoCanyonAZ",2008,7,19,"Fall",32,"Richness"
"166",11,"SabinoCanyonAZ",2009,7,18,"Fall",519,"Abundance"
"368",11,"SabinoCanyonAZ",2009,7,18,"Fall",49,"Richness"
"167",11,"SabinoCanyonAZ",2010,7,17,"Fall",1806,"Abundance"
"369",11,"SabinoCanyonAZ",2010,7,17,"Fall",59,"Richness"
"168",11,"SabinoCanyonAZ",2011,4,2,"Spring",584,"Abundance"
"370",11,"SabinoCanyonAZ",2011,4,2,"Spring",48,"Richness"
"169",11,"SabinoCanyonAZ",2011,7,16,"Fall",795,"Abundance"
"371",11,"SabinoCanyonAZ",2011,7,16,"Fall",40,"Richness"
"170",11,"SabinoCanyonAZ",2012,3,25,"Spring",1079,"Abundance"
"372",11,"SabinoCanyonAZ",2012,3,25,"Spring",63,"Richness"
"171",11,"SabinoCanyonAZ",2012,7,21,"Fall",216,"Abundance"
"373",11,"SabinoCanyonAZ",2012,7,21,"Fall",40,"Richness"
"172",11,"SabinoCanyonAZ",2013,4,7,"Spring",1264,"Abundance"
"374",11,"SabinoCanyonAZ",2013,4,7,"Spring",61,"Richness"
"173",11,"SabinoCanyonAZ",2013,7,20,"Fall",434,"Abundance"
"375",11,"SabinoCanyonAZ",2013,7,20,"Fall",39,"Richness"
"174",11,"SabinoCanyonAZ",2014,4,6,"Spring",2453,"Abundance"
"376",11,"SabinoCanyonAZ",2014,4,6,"Spring",58,"Richness"
"175",11,"SabinoCanyonAZ",2014,7,19,"Fall",359,"Abundance"
"377",11,"SabinoCanyonAZ",2014,7,19,"Fall",36,"Richness"
"176",11,"SabinoCanyonAZ",2015,3,29,"Spring",3421,"Abundance"
"378",11,"SabinoCanyonAZ",2015,3,29,"Spring",67,"Richness"
"177",11,"SabinoCanyonAZ",2015,7,18,"Fall",262,"Abundance"
"379",11,"SabinoCanyonAZ",2015,7,18,"Fall",42,"Richness"
"178",11,"SabinoCanyonAZ",2016,4,3,"Spring",1693,"Abundance"
"380",11,"SabinoCanyonAZ",2016,4,3,"Spring",61,"Richness"
"179",11,"SabinoCanyonAZ",2016,7,16,"Fall",850,"Abundance"
"381",11,"SabinoCanyonAZ",2016,7,16,"Fall",56,"Richness"
"180",11,"SabinoCanyonAZ",2017,3,26,"Spring",2200,"Abundance"
"382",11,"SabinoCanyonAZ",2017,3,26,"Spring",63,"Richness"
"181",11,"SabinoCanyonAZ",2017,7,15,"Fall",695,"Abundance"
"383",11,"SabinoCanyonAZ",2017,7,15,"Fall",42,"Richness"
"182",11,"SabinoCanyonAZ",2018,4,3,"Spring",850,"Abundance"
"384",11,"SabinoCanyonAZ",2018,4,3,"Spring",54,"Richness"
"183",11,"SabinoCanyonAZ",2018,7,31,"Fall",1098,"Abundance"
"385",11,"SabinoCanyonAZ",2018,7,31,"Fall",63,"Richness"
"184",11,"SabinoCanyonAZ",2019,7,23,"Fall",900,"Abundance"
"386",11,"SabinoCanyonAZ",2019,7,23,"Fall",61,"Richness"
"185",11,"SabinoCanyonAZ",2020,4,3,"Spring",2611,"Abundance"
"387",11,"SabinoCanyonAZ",2020,4,3,"Spring",67,"Richness"
"186",11,"SabinoCanyonAZ",2020,7,29,"Fall",248,"Abundance"
"388",11,"SabinoCanyonAZ",2020,7,29,"Fall",34,"Richness"
"187",11,"SabinoCanyonAZ",2021,3,28,"Spring",373,"Abundance"
"389",11,"SabinoCanyonAZ",2021,3,28,"Spring",27,"Richness"
"188",11,"SabinoCanyonAZ",2021,7,26,"Fall",730,"Abundance"
"390",11,"SabinoCanyonAZ",2021,7,26,"Fall",43,"Richness"
"96",12,"PortalAZ",1999,8,28,"Fall",5833,"Abundance"
"298",12,"PortalAZ",1999,8,28,"Fall",82,"Richness"
"97",12,"PortalAZ",2000,7,29,"Fall",2087,"Abundance"
"299",12,"PortalAZ",2000,7,29,"Fall",76,"Richness"
"98",12,"PortalAZ",2001,7,28,"Fall",2025,"Abundance"
"300",12,"PortalAZ",2001,7,28,"Fall",86,"Richness"
"99",12,"PortalAZ",2002,7,27,"Fall",138,"Abundance"
"301",12,"PortalAZ",2002,7,27,"Fall",31,"Richness"
"100",12,"PortalAZ",2003,7,26,"Fall",1006,"Abundance"
"302",12,"PortalAZ",2003,7,26,"Fall",56,"Richness"
"101",12,"PortalAZ",2004,8,14,"Fall",679,"Abundance"
"303",12,"PortalAZ",2004,8,14,"Fall",61,"Richness"
"102",12,"PortalAZ",2005,8,13,"Fall",566,"Abundance"
"304",12,"PortalAZ",2005,8,13,"Fall",56,"Richness"
"103",12,"PortalAZ",2009,7,25,"Fall",862,"Abundance"
"305",12,"PortalAZ",2009,7,25,"Fall",61,"Richness"
